Awareness Overtime,Awareness Total,,Awareness Impact TP1,Awareness Impact TP2,Awareness Impact TP3,Awareness Impact TP4,Awareness Impact TP5,Awareness Impact TP6,Awareness Impact TP7,Discussion Heat Impact TP1,Discussion Heat Impact TP2,Discussion Heat Impact TP3,Discussion Heat Impact TP4,Discussion Heat Impact TP5,Discussion Heat Impact TP6,Discussion Heat Impact TP7,,,,,,,,,,
56.1850855564,52.7214852284,,0.8478640883,0.2823011925,0.4134372008,0.8934220525,0.7375785539,0.7712345817,0.2009874786,0.755713655,0.5909785092,0.5745495438,0.5026017843,0.866071291,0.3259974854,0.6098169006,0.4561961445,0.9687541103,0.8953935135,0.1702366182,0.9291463481,0.9801223768,0.9229297692,0.0336209223,0.1456683868,0.6455412826
52.4594389043,46.437614563,,0.5394311286,0.2404685293,0.4423129574,0.6194195213,0.8730926329,0.4537584077,0.3056568763,0.6002490632,0.1181429577,0.6343800818,0.58162616,0.8644268349,0.3569419447,0.6186568596,0.7624875248,0.7858026609,0.3428182664,0.0682074535,0.5553958132,0.7023122195,0.264429632,0.1774301738,0.5154872795,0.796717791
82.5953731353,57.6578422232,,0.1071546468,0.4701834807,0.3868592171,0.4953932643,0.6030017542,0.9947751808,0.9363793156,0.2572547287,0.9177476005,0.2351620516,0.488118333,0.5243509913,0.1624934893,0.0963004441,0.0703018488,0.0362934558,0.5365551184,0.392877745,0.0720290483,0.6726180333,0.409577554,0.3731933119,0.5736064648,0.4803363735
62.9412784446,62.3820634895,,0.9329937693,0.9437469301,0.0621980525,0.5683474102,0.8344218183,0.4251316118,0.0735927904,0.1060446382,0.8933221146,0.8661166795,0.411244008,0.7503680477,0.2222128806,0.1703463201,0.9853352324,0.4437144652,0.8849683558,0.5488676013,0.9874791697,0.6745333309,0.5722014313,0.1017412012,0.0707584238,0.9730995859
191.0264348892,143.8149226917,,0.0234576816,0.6532770219,0.44016746,0.6268691121,0.6369260131,0.317975993,0.2751172729,0.3429862545,0.2395962149,0.658048575,0.7035157395,0.8599271747,0.3042711053,0.7084190973,0.6260381882,0.3159267425,0.9945674655,0.5914146658,0.0495540369,0.5187505209,0.2950159814,0.9208761661,0.2302775174,0.1295380404
50.8020946583,49.0599093096,,0.1405977187,0.7042177967,0.8500612158,0.1728568051,0.8985305888,0.9910009658,0.6533535567,0.2157714869,0.7748463485,0.0878772939,0.4576923555,0.0206459153,0.719274625,0.762294396,0.2172083398,0.469560067,0.1841776871,0.4911473957,0.8664640806,0.0826383603,0.6567559453,0.4755981881,0.0010554208,0.5082492127
52.8114053334,51.2177864757,,0.2284703114,0.8395731765,0.0617538818,0.949950264,0.5916050372,0.1569897326,0.5805700482,0.6132176596,0.760120297,0.211550498,0.2199700298,0.9044115416,0.5004210031,0.6829836149,0.790577682,0.2950945,0.9273944874,0.2748961263,0.1680480136,0.4767333201,0.9720462542,0.6519469114,0.0463975421,0.6739786057
201.2788545058,151.6419405024,,0.4592902002,0.4378344522,0.7629300361,0.7591310081,0.3479252181,0.4406338931,0.0089969695,0.1160667455,0.2795574876,0.2183068865,0.101183522,0.0388090969,0.9592041502,0.0747467045,0.6291132489,0.8180967747,0.0475401849,0.5855102997,0.7189150736,0.5687141079,0.1832276414,0.7924280591,0.8554988043,0.281011825
53.8474209977,51.0366484929,,0.4734921104,0.2775706911,0.1921361502,0.5419617595,0.2920885479,0.4295924682,0.5424463162,0.8642521023,0.5060246888,0.3492583743,0.7977366156,0.5863448351,0.3158872406,0.00600205,0.3417498597,0.8620802154,0.7393420398,0.4536509446,0.1452224522,0.3453276857,0.3933566846,0.1409931028,0.6142581132,0.7933466042
43.0886637841,22.3222654551,,0.6379199758,0.6116502207,0.9393738231,0.9619340035,0.332509446,0.1777599422,0.6461765035,0.8461011183,0.4262850624,0.473259432,0.2839799675,0.5319337929,0.3539628925,0.1451020595,0.7052737793,0.6684568889,0.7415501484,0.3245268818,0.1868067452,0.8427358105,0.2395989146,0.9355409449,0.7221497354,0.9471131331
