0	4	0.316
0	8	0.316
0	13	0.316
0	14	0.316
0	15	0.316
0	21	0.316
0	22	0.316
0	24	0.316
1	2	0.895
1	3	0.579
1	4	0.579
1	5	0.579
1	7	0.789
3	5	0.895
3	7	0.579
3	8	0.632
4	5	0.895
4	7	0.579
4	8	0.632
5	7	0.579
5	8	0.632
6	7	0.895
6	9	0.579
6	13	0.579
6	14	0.579
7	8	0.579
7	9	0.579
7	13	0.579
7	14	0.579
8	9	0.684
9	10	0.684
9	11	0.684
10	11	0.789
10	16	0.737
11	12	0.895
11	13	0.684
11	14	0.684
11	15	0.684
11	16	0.737
12	13	0.684
12	14	0.684
12	15	0.684
13	14	0.895
13	15	0.895
16	17	0.737
16	18	0.684
17	18	0.684
18	19	0.684
20	23	0.421
21	22	0.895
22	24	0.895
23	25	0.421
24	25	0.684
