1.0,6.2,9.700000000000001,8.260000000000002,8.136
2.0,6.2,9.9,8.333333333333332,8.124661028227726
3.0,6.4,9.9,8.506666666666666,8.07059949715343
4.0,6.7,10.7,8.733333333333333,7.988348237614852
5.0,6.6000000000000005,10.7,8.94,7.8846907631
6.0,6.9,10.4,9.139999999999999,9.214200047049511
7.0,7.3,11.1,9.42,14.35667975422602
8.0,7.7,11.0,9.56,19.692017094287852
9.0,8.1,11.200000000000001,9.66,24.104
10.0,8.1,11.799999999999999,9.94,23.667891019400802
11.0,8.3,12.0,10.213333333333333,19.222611120957485
12.0,8.5,12.5,10.52,13.136257419915635
13.0,8.5,13.4,10.973333333333333,9.1119678715
14.0,8.7,14.099999999999998,11.493333333333332,9.134240848797432
15.0,9.0,16.0,12.06,9.419350913564932
16.0,9.5,16.5,12.553333333333333,9.578672538360157
17.0,9.6,17.299999999999997,12.920000000000002,9.9782811245
18.0,9.4,17.4,13.386666666666667,10.078269283707058
19.0,9.4,17.599999999999998,13.806666666666667,14.066277881705734
20.0,9.4,17.8,14.360000000000001,16.270700094101677
21.0,9.4,17.9,14.673333333333332,22.419502008
22.0,9.9,18.099999999999998,14.96,19.766160263980378
23.0,10.100000000000001,18.5,15.313333333333334,15.871497354298674
24.0,10.6,20.0,15.76,8.403021499061875
25.0,10.5,20.5,16.18,1.002313253
26.0,11.1,20.599999999999998,16.573333333333334,1.3658940845928538
27.0,11.5,21.9,17.053333333333335,4.820636581163733
28.0,12.2,21.9,17.546666666666667,6.701043982446529
29.0,12.4,22.400000000000002,18.05333333333333,11.7109076305
30.0,13.4,23.0,18.626666666666665,13.051338262644416
31.0,14.399999999999999,23.200000000000003,19.02,15.405983557109229
32.0,14.2,23.5,19.306666666666665,18.973338612787472
33.0,14.399999999999999,23.7,19.593333333333334,22.419502008
34.0,16.0,25.3,20.146666666666665,21.371826186623732
35.0,16.5,25.1,20.586666666666666,18.008174324544584
36.0,17.0,25.6,21.099999999999998,17.746806679867614
37.0,17.299999999999997,26.900000000000002,21.673333333333332,13.3954056225
38.0,17.2,27.0,21.88,13.992360087993099
39.0,17.9,27.700000000000003,22.346666666666668,14.597889566088941
40.0,17.9,27.700000000000003,22.8,15.517968858959717
41.0,18.4,28.599999999999998,23.28,16.4515662651
42.0,19.0,28.9,23.58,15.863424347062473
43.0,18.7,28.9,23.85333333333333,14.586460180557
44.0,19.400000000000002,28.599999999999998,24.266666666666666,14.334952861780982
45.0,19.2,29.599999999999998,24.62,12.5772208835
46.0,19.900000000000002,30.2,25.14,13.975207833382985
47.0,20.599999999999998,29.799999999999997,25.333333333333336,15.911174152775006
48.0,20.9,30.4,25.77333333333333,18.947024181246565
49.0,21.4,30.9,26.166666666666664,22.419502008
50.0,21.6,30.9,26.486666666666668,24.480998782140645
51.0,21.7,31.3,26.78666666666667,26.031240967773495
52.0,21.6,31.7,27.10666666666667,27.829893386760297
