6.858765439449791 190.53979797217448 ;0.12788574596492144 0.9990580117287954 0.9535275015882557 0.9831976933953003 0.7473580595748329 
6.923226086728122 190.3385651352392 ;0.392455905627624 0.9492016607511855 0.9915166384735024 0.02382244867460548 0.983831652571505 
7.028936735362701 189.52806728595647 ;0.2341349849575447 0.9937535734830176 0.9956945512036781 0.19401711858733248 1.0 
7.0871684420348435 189.27260145214865 ;0.3300634990815915 0.9611553485413278 0.952611389524795 0.0507781258420289 0.999754549934561 
7.107360727965696 188.26386292812154 ;0.3262274983394869 0.999179666412339 0.9651302279440237 0.0622182880696312 0.9739514409846057 
7.243573117108436 188.26020905494946 ;0.36658122723319453 0.9796509052360516 0.9746887923582674 0.0 1.0 
7.2477339322240475 188.2078506366744 ;0.34304847147243783 1.0 0.9962717352554668 0.01740606094140016 1.0 
7.291694846515941 187.8921283561194 ;0.23379125864702133 0.9989147793446689 1.0 0.16860281722761206 1.0 
7.305524590828893 186.20430279983051 ;0.32777196115456286 0.987612051944665 0.999439359542067 0.03617845622285694 1.0 
7.488744354711874 185.71496431979477 ;0.3496766119449334 0.9979665675037103 1.0 0.0 0.9960336691247962 
7.504060206572561 185.64835311436786 ;0.3146156270215552 0.9309984634599265 1.0 0.04840665455364509 1.0 
7.514295319007768 185.39258635656856 ;0.33840124325765075 0.9961682887915496 1.0 0.0 1.0 
7.607479239777055 185.21601699992544 ;0.3407376600285551 0.9952673930790319 0.7813410120144282 0.0 1.0 
7.6187399855509 184.72454563960548 ;0.32248737038719927 0.997030874607115 0.9335621319863593 0.02017758137105452 0.9781976328970311 
7.628933101507076 184.57767292552597 ;0.3220766184023228 1.0 0.930692453180769 0.02756417148070523 0.9697616174250713 
7.675573849701853 184.4847289863057 ;0.26465831757851843 0.9892343613625106 0.980302092744244 0.09213591326433035 0.991285772219477 
7.7990700748311 183.81750080877015 ;0.32643106985782266 0.9990015423134145 0.9593587870237389 0.0 1.0 
7.867742205189624 182.72812058169902 ;0.31554472968775543 0.9884328960246835 1.0 0.003981319850367322 0.9885588868939658 
7.868572321638662 182.02484036668866 ;0.32248737038719927 0.997030874607115 0.9335621319863593 0.0 1.0 
8.005867338435852 181.5332282921558 ;0.33405016758688433 0.93681340706806 0.9916489686814464 0.013484686342844249 0.8971216754318944 
8.00997320676628 181.27100446706854 ;0.26850685249608797 0.9848968856339496 0.8588576988947152 0.05521163650557165 1.0 
8.079456078861343 180.54643269841554 ;0.30397726273994874 0.9531725585831564 0.9507987609990822 0.002010930439631005 1.0 
8.134014668215876 179.86462956132658 ;0.300233797391559 1.0 0.978966362438913 0.008059894325609381 0.9704220541908485 
8.154321863885361 178.97155506029526 ;0.2609489355823713 0.9648097432661014 0.9969871806056436 0.05319356328798619 1.0 
8.292415667825724 178.53703018933584 ;0.29787607201161104 0.9980555394064103 1.0 0.002540692079939212 0.9754982487438988 
8.343578643201443 178.41905429590605 ;0.2930300143135136 0.9926538247190108 0.9478271458157658 0.012975594883343999 0.9753107202319445 
8.497892508871871 176.31572920415806 ;0.2807084719222014 0.9964092930525058 0.9727486910038989 0.0 1.0 
8.675846165759022 176.2781644250204 ;0.24763951127456807 0.9957342911653899 1.0 0.030196782194746398 1.0 
8.716329856108938 175.15346862010784 ;0.26465831757851843 0.9892343613625106 0.976169786066779 0.0 1.0 
8.774291794606794 175.12825295654113 ;0.2642784984936352 0.996574590133415 0.9884516898020916 0.007350555194133438 0.9923265488792453 
8.775049429170334 174.40162230071326 ;0.2642784984936352 0.9971570434845842 0.9884516898020916 0.007350555194133438 0.9923265488792453 
8.853389128412628 174.26002789672935 ;0.26839876596429846 0.9833467675320516 0.8199651451068708 0.0 0.9800479906474058 
8.873348259633552 173.8608725192616 ;0.23760413789735046 0.9980833191611301 0.9301505338694668 0.020210843024570834 1.0 
9.143646626155666 172.3614527874056 ;0.2307850718635588 1.0 1.0 0.04074098153212336 0.9490953711346216 
9.234918095560547 172.18929316671287 ;0.23681966209314098 0.9999996942924315 0.9917291596012118 0.0013976655375266336 0.9974653666281159 
9.274453118133898 171.87224367215296 ;0.23379125864702133 0.9999615767168843 1.0 0.0 1.0 
9.281320760715902 171.83518514657965 ;0.2434785718210634 0.9999812028304982 0.883101238755162 0.0 1.0 
9.286039071216312 171.70728017960658 ;0.2298207822802612 0.998243606357339 0.946678395011226 0.005336427753910484 1.0 
