"Method" "PISA-HV" "WFG-HV" "EP" "GD" "GSPREAD" "IGD" "IGD+" "SPREAD"
"SMSEMOA" "0.4796271832676259" "10284.508313591728" "0.24887345412493506" "0.04982462145417108" "0.8007636756012894" "0.03987113055302838" "0.21889443391196212" "0.8122912671653351"
"SPEA2-BLX" "0.3465198690307697" "10343.98154424875" "0.3262036522542065" "0.08668998854354262" "0.8003337143083147" "0.056183478243744193" "0.3163216750697056" "0.8469452827172416"
"NSGAII-BLX" "0.42634352071886417" "10309.302954107608" "0.2651072735559737" "0.0635182087510587" "0.808140878115977" "0.04559046668103824" "0.2542221227563201" "0.8271301828882627"
"MOEAD" "0.4984207510910083" "10251.617417380128" "0.2203316223833697" "0.03766750201080262" "0.838742185242657" "0.03596202616284482" "0.192389543043912" "0.7875542874987926"
"IBEA" "0.4253400800029823" "10279.91126593687" "0.2748565736910325" "0.07033886953054908" "0.7830056337922875" "0.04661952181910554" "0.26010718900246427" "0.8049660932723723"
"GWASFGA" "0.34964667000080996" "10333.972847477915" "0.30447172161946895" "0.08626200450712071" "0.8035286273962207" "0.053938766834847315" "0.30666578659122123" "0.8144280199756604"
"MOMBI2" "0.47144865923803053" "10183.808188437264" "0.2824546189771214" "0.06801134232784468" "0.7324537940420779" "0.04380988844006691" "0.22725537959715406" "0.7236070445789992"
