1.0,36.6,42.1,39.26
2.0,36.5,41.8,39.06666666666666
3.0,36.199999999999996,41.6,38.82666666666667
4.0,35.8,41.5,38.53333333333334
5.0,35.6,41.4,38.413333333333334
6.0,35.3,41.199999999999996,38.21333333333333
7.0,35.199999999999996,41.0,38.013333333333335
8.0,35.099999999999994,40.5,37.84
9.0,34.599999999999994,40.300000000000004,37.666666666666664
10.0,34.300000000000004,40.0,37.4
11.0,34.1,39.7,37.22
12.0,33.7,39.5,36.986666666666665
13.0,33.6,39.2,36.806666666666665
14.0,33.4,38.9,36.65333333333333
15.0,33.4,38.7,36.50666666666667
16.0,33.1,38.6,36.27333333333333
17.0,32.9,38.3,36.093333333333334
18.0,32.7,38.1,35.91333333333333
19.0,32.7,38.0,35.77333333333333
20.0,32.300000000000004,37.8,35.56666666666667
21.0,32.1,37.7,35.32666666666667
22.0,32.0,37.5,35.21333333333334
23.0,32.0,37.4,35.013333333333335
24.0,31.900000000000002,37.2,34.85333333333333
25.0,31.7,37.1,34.64666666666666
26.0,31.3,36.9,34.45333333333333
27.0,31.2,36.7,34.260000000000005
28.0,31.0,36.5,34.093333333333334
29.0,30.9,36.199999999999996,33.88666666666666
30.0,30.599999999999998,36.0,33.70666666666667
31.0,30.5,35.8,33.53333333333333
32.0,30.3,35.6,33.373333333333335
33.0,30.2,35.5,33.193333333333335
34.0,30.0,35.3,32.99333333333333
35.0,29.9,35.3,32.800000000000004
36.0,29.799999999999997,35.099999999999994,32.64
37.0,29.799999999999997,34.9,32.45333333333333
38.0,29.7,34.8,32.25333333333333
39.0,29.299999999999997,34.699999999999996,32.06
40.0,29.099999999999998,34.5,31.906666666666666
41.0,28.799999999999997,34.2,31.746666666666666
42.0,28.799999999999997,34.0,31.546666666666667
43.0,28.799999999999997,33.7,31.4
44.0,28.7,33.5,31.233333333333334
45.0,28.499999999999996,33.5,31.07333333333333
46.0,28.4,33.5,30.906666666666666
47.0,28.4,33.5,30.833333333333336
48.0,28.199999999999996,33.4,30.673333333333332
49.0,28.1,33.300000000000004,30.566666666666663
50.0,27.500000000000004,33.1,30.373333333333335
51.0,27.400000000000002,32.9,30.240000000000002
52.0,27.3,32.7,30.066666666666663
